ID,Player Type,Winner?,Points,Total Money,Money from GO,Money from Chest,Money from properties,Starting Position,Number of Moves,Path,Times Passed Go,Times in Jail,Properties,Chest Cards,Chest Card Payout,Total Wait
3.0,greedy,Loser,4.0,11000,6000.0,0,9000,0,26,"[6, 10, 13, 18, 19, 23, 26, 31, 0, 1, 3, 7, 12, 17, 18, 24, 8, 10, 12, 18, 23, 29, 2, 8, 13, 19, 25]",6.0,1.0,"[6, 10, 13, 19, 23, 26, 3, 12, 25]","[2, 7, 8]",[],19.550000000000004
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,9,20.073416233062748,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,2.0,10000,5000.0,0,9000,0,28,"[2, 3, 8, 13, 19, 22, 26, 0, 4, 7, 9, 10, 11, 12, 13, 17, 19, 22, 28, 29, 3, 7, 9, 12, 18, 19, 22, 23]",5.0,0.0,"[2, 3, 13, 19, 22, 26, 7, 29, 18]","[5, 11, 8]",[],19.72
2.0,greedy,Winner,3.0,15000,6000.0,4000,9000,0,28,"[4, 5, 9, 15, 16, 17, 19, 22, 25, 28, 2, 5, 11, 17, 22, 24, 8, 11, 16, 22, 27, 30, 3, 5, 6, 7, 12, 18, 23]",6.0,1.0,"[4, 5, 9, 17, 25, 28, 27, 30, 6]","[3, 1, 10]","[[3, 2000], [1, 2000]]",19.97
3.0,greedy,Loser,4.0,11000,6000.0,0,7000,0,31,"[4, 10, 14, 15, 19, 24, 8, 9, 10, 11, 12, 17, 20, 23, 26, 27, 0, 3, 8, 9, 13, 19, 25, 29, 2, 5, 9, 10, 13, 19, 25, 31]",6.0,1.0,"[10, 14, 15, 11, 12, 20, 23]","[2, 4, 12]",[],19.91
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,10,20.06462454795837,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
